id,v1,v2,v3,v4
Java,100,50,50,50
Scala,100,50,50,50
Go,100,50,50,50
PHP,100,50,50,50
Python,100,50,50,50
JavaScript,100,50,50,50
C++,100,50,50,50
GCP,50,100,50,50
AWS,50,100,50,50
AWS Lambda,50,50,100,50
EC2,50,50,100,50
Cloud Search,50,50,100,50
DynamoDB,50,50,100,50
Vision API,50,50,100,50
Cloud Dataflow,50,50,100,50
App Engine,50,50,100,50
BigQuery,50,50,100,50
BigTable,50,50,100,50
Compute Engine,50,50,100,50
Apache Beam,50,50,50,100
Apache Spack,50,50,50,100
Apache Kafka,50,50,50,100
TensorFlow,50,50,50,100
